2020年临海市事业单位公开招聘工作人员一览表,,,,,,,,,,,,,,,
序号,招聘单位主管部门,招聘单位,"单位类别
与预算管理方式","招聘
岗位","岗位
类别","招聘
人数",学历   要求,学位    要求,专业要求,其他要求和有关说明,笔试科目及分数比例,面试方式及分数比例,技能测试及分数比例,咨询电话,备注
12,临海市审计局,临海市公共投资审计中心,"公益一类
财政全额补助",审计D,专技,1,本科及以上,学士及以上,会计学、会计、财务管理、财务会计、财务会计教育、企业财务管理、审计、审计学、财政学、财政,"1.女性；
2.35周岁及以下；
3.台州范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85113581,
13,临海市司法局,临海市行政调解中心,"公益一类
财政全额补助",行政调解,管理,1,本科及以上,学士及以上,一级学科：法学类、法律类（本科须为法学类、法律类，如有双专业，以第一专业为准）,"1.35周岁及以下；
2.台州范围；
3.通过国家统一法律职业资格考试。",《综合素质测试》占50%,结构化面试占50%,,0576-85156079,
14,临海市民政局,临海市民政综合救助中心,"公益一类
财政全额补助",财务管理,专技,1,本科及以上,学士及以上,会计学、会计、财务管理、财务会计、财务会计教育、企业财务管理、审计、审计学,"1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85287877,
15,临海市民政局,临海市殡仪馆,"公益二类
财政适当补助",财务管理,管理,1,本科及以上,,会计学、会计、财务管理、财务会计、财务会计教育、企业财务管理、审计、审计学,"1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85287877,
16,临海市民政局,临海市殡仪馆,"公益二类
财政适当补助",一线技术人员,专技,1,本科及以上,,专业不限,"1.35周岁及以下；
2.临海范围；
3.该岗位为一线操作技术人员，具有特殊性，不建议女性报考。",《综合素质测试》占50%,结构化面试占50%,,0576-85287877,
17,临海市人力资源和社会保障局,临海市考试培训和信息技术中心,"公益一类
财政全额补助",综合管理A,专技,1,本科及以上,,专业不限,"1.35周岁及以下；
2.临海范围；
3.该岗位需要24小时值班，周末经常性加班，不建议女性报考。",《综合素质测试》占50%,结构化面试占50%,,0576-85115930,
18,临海市人力资源和社会保障局,临海市考试培训和信息技术中心,"公益一类
财政全额补助",综合管理B,专技,1,专科及以上,,专业不限,"1.35周岁及以下；
2.临海范围；
3.持有由残联在本公告发布日前核发的第二代残疾人证；
4.要求残疾类型为：肢体残疾四级（下肢残疾）不影响正常工作；听力残疾四级，配戴助听器或人工耳蜗后不影响正常交流。",《综合素质测试》占50%,结构化面试占50%,,0576-85115930,
19,临海市自然资源和规划局,临海市城市规划服务中心,"公益一类
财政全额补助",规划员A,专技,2,本科及以上,,城市规划、城乡规划、城乡规划学、城市规划与设计、建筑学,"1.35周岁及以下，取得副高及以上专业技术任职资格的年龄放宽至45周岁及以下；
2.取得中级及以上专业技术任职资格或者取得注册城乡（城市）规划师职业资格；
3.浙江范围，取得副高及以上专业技术任职资格的户籍不限。",《综合素质测试》占50%,结构化面试占50%,,0576-85118207,
20,临海市自然资源和规划局,临海市城市规划服务中心,"公益一类
财政全额补助",规划员B,专技,4,本科及以上,,城市规划、城乡规划、城乡规划学、城市规划与设计、建筑学,"1.35周岁及以下；
2.台州范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85118207,
21,临海市自然资源和规划局,临海市林场,"公益二类
财政适当补助",分场技术员,专技,2,专科及以上,,一级学科：林业类、林业技术类、森林资源类、林业工程类,"1.35周岁及以下；
2.台州范围；
3.技术员岗位特殊性，要单独常驻高山护林点，不适合女性报考。",《综合素质测试》占50%,结构化面试占50%,,0576-85118207,
22,临海市住房和城乡建设局,临海市城市建设事务中心,"公益一类
财政全额补助",城市建设管理,专技,2,本科及以上,,土木工程、市政工程、给排水科学与工程、给水排水工程、桥梁与隧道工程、道路桥梁与渡河工程,"1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85382021,
23,临海市住房和城乡建设局,临海市政公用工程质量安全事务中心,"公益一类
财政全额补助",市政管理,专技,1,本科及以上,,土木工程、市政工程、给排水科学与工程、给水排水工程、桥梁与隧道工程、道路桥梁与渡河工程,"1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85382021,
24,临海市住房和城乡建设局,临海市住房保障与房地产事务中心,"公益一类
财政全额补助",文秘,专技,1,本科及以上,,"一级学科：中国语言文学类；
二级学科：新闻学","1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85382021,
25,临海市住房和城乡建设局,临海市住房保障与房地产事务中心,"公益一类
财政全额补助",房屋征收与管理,专技,1,本科及以上,,"一级学科：法学类、法律类；
二级学科：法律房地产经营管理、房地产开发与管理","1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85382021,
26,临海市住房和城乡建设局,临海市建筑工程事务中心,"公益一类
财政全额补助",消防管理,专技,1,本科及以上,,电气工程与自动化、建筑电气与智能化、电气工程与智能控制、消防工程,"1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85382021,
27,临海市交通运输局,临海市综合交通服务中心,"公益一类
财政全额补助",交通建设管理,专技,1,本科及以上,,"交通土建工程、路桥建筑、道路桥梁与渡河工程、道桥、道路与桥梁工程、桥梁工程、道路桥梁、道路与桥梁、桥梁与隧道工程、土木工程（道路与桥梁方向)、土木工程（道路与交通工程)、土木工程（公路桥梁)、土木工程（道路与桥梁方向)、土木工程（桥梁工程)、土木工程（道路与桥梁工程)、土木工程（道路与桥梁)、土木工程（道桥方向)、土木工程（道桥)、土木工程（路桥)、土木工程（交通土建工程方向）、土木工程（公路与城市道路工程)、土木工程（道路与交通方向）。
说明：所有加括号的专业以学信网认证专业为准","1.35周岁及以下；
2.台州范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85119879,
28,临海市农业农村局,临海市特产技术推广总站,"公益一类
财政全额补助",特产技术推广,专技,1,本科及以上,学士及以上,二级学科：园艺、植物保护、茶学、果树学,"1.35周岁及以下；
2.浙江范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85389215,
29,临海市农业农村局,临海市特产技术推广总站,"公益一类
财政全额补助",农业农村信息化管理,专技,1,本科及以上,学士及以上,"一级学科：计算机类、计算机科学与技术类；
二级学科;通信工程、电子信息工程、电子科学与技术、信息工程、信息科学技术、电子信息科学与技术、信息管理与信息系统、信息物理工程、通信与信息系统、信号与信息处理","1.35周岁及以下；
2.浙江范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85389215,
30,临海市农业农村局,临海市农业技术推广中心,"公益一类
财政全额补助",农业技术推广,专技,1,本科及以上,学士及以上,二级学科：农学、植物保护、植物科学与技术、种子科学与工程、农业资源与环境、植物营养学、蔬菜学、作物栽培学与耕作学、作物遗传育种,"1.35周岁及以下；
2.浙江范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85389215,
31,临海市水利局,临海市基层水利事务中心,"公益一类
财政全额补助",水利工程管理A,专技,2,本科及以上,学士及以上,水利水电工程、水利水电建筑工程、水文与水资源工程、水文与水资源利用、水文学及水资源、水力学及河流动力学、水工结构工程、农业水利工程,"1.男性；
2.35周岁及以下；
3.户籍不限。",《综合素质测试》占50%,结构化面试占50%,,0576-85389929,
32,临海市水利局,临海市基层水利事务中心,"公益一类
财政全额补助",水利工程管理B,专技,2,本科及以上,学士及以上,水利水电工程、水利水电建筑工程、水文与水资源工程、水文与水资源利用、水文学及水资源、水力学及河流动力学、水工结构工程、农业水利工程,"1.女性；
2.35周岁及以下；
3.户籍不限。",《综合素质测试》占50%,结构化面试占50%,,0576-85389929,
33,临海市文化广电旅游体育局,临海市图书馆,"公益一类
财政全额补助",图书资料管理员,专技,1,本科及以上,学士及以上,专业不限,"1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85320280,
34,临海市应急管理局,临海市应急服务中心,"公益一类
财政全额补助",应急管理A,专技,1,本科及以上,学士及以上,"一级学科：计算机类、计算机科学与技术类；
二级学科;通信工程、电子信息工程、电子科学与技术、信息工程、信息科学技术、电子信息科学与技术、信息管理与信息系统、信息物理工程、通信与信息系统、信号与信息处理","1.35周岁及以下；
2.临海范围；
3.该岗位需要24小时值班，工作强度大，不适合女性报考。",《综合素质测试》占50%,结构化面试占50%,,0576-85015062,
35,临海市应急管理局,临海市应急服务中心,"公益一类
财政全额补助",应急管理B,管理,1,本科及以上,学士及以上,"一级学科：地质类、地质资源与地质工程类；
二级学科：抢险救援指挥与技术、火灾勘查、消防工程、安全工程、雷电防护科学与技术、灾害防治工程安全防范工程、公共安全管理、应急管理","1.35周岁及以下；
2.户籍不限；
3.该岗位需要24小时值班，工作强度大，不适合女性报考。",《综合素质测试》占50%,结构化面试占50%,,0576-85015062,
36,临海市人民武装部,临海市人民武装部机关事务中心,"公益一类
财政全额补助",武器弹药保管员,管理,1,专科及以上,,专业不限,"1.35周岁及以下；
2.临海市户籍且在临海市入伍；
3.中共党员（含预备党员）；
4.服现役满5年；
5.曾在部队从事军械武器弹药管理或在装备管理部门工作的退役士兵；
6.该岗位工作危险系数高，执行24小时值班制度，适合男性报考。",《综合素质测试》占50%,结构化面试占50%,,0576-88238753,
37,临海市市场监督管理局,临海市食品药品检验检测中心,"公益一类
财政全额补助",理化检验,专技,1,本科及以上,,食品科学、化学工程、化学工艺、分析化学、生物化工、药物分析、食品科学与工程、食品质量与安全、食品卫生与营养学、营养与食品卫生学、农产品质量与安全、化学、应用化学、化学工程与工艺、药学、化工与制药、制药工程、化学生物学、分子科学与工程、生物工程、生物技术、生物科学,"1.35周岁及以下；
2.临海范围；
3.经常性外出作业，早出晚归，不建议女性报考。",《综合素质测试》占50%,结构化面试占50%,,0576-85175320,
38,临海市市场监督管理局,临海市知识产权综合服务中心,"公益一类
财政全额补助",知识产权服务A,专技,1,本科及以上,学士及以上,"一级学科：法学类、法律类、机械类、机械工程类、电气类、电气工程类；
取得硕士研究生及以上学历并有相应硕士及以上学位的专业不限。","1.男性；
2.35周岁及以下；
3.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85175320,
39,临海市市场监督管理局,临海市知识产权综合服务中心,"公益一类
财政全额补助",知识产权服务B,专技,1,本科及以上,学士及以上,"一级学科：法学类、法律类、机械类、机械工程类、电气类、电气工程类；
取得硕士研究生及以上学历并有相应硕士及以上学位的专业不限。","1.女性；
2.35周岁及以下；
3.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85175320,
40,临海市市场监督管理局,临海市消费者权益保护委员会秘书处,"公益一类
财政全额补助",消费者权益保护A,专技,1,本科及以上,,一级学科：法学类、法律类,"1.男性；
2.35周岁及以下；
3.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85175320,
41,临海市市场监督管理局,临海市消费者权益保护委员会秘书处,"公益一类
财政全额补助",消费者权益保护B,专技,1,本科及以上,,一级学科：法学类、法律类,"1.女性；
2.35周岁及以下；
3.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85175320,
42,临海市财政局,临海市财政预算编制中心,"公益一类
财政全额补助",财政预算A,专技,1,本科及以上,学士及以上,财政学、财政、税收学、税务、会计学、会计、财务管理、财务会计、财务会计教育、企业财务管理、审计学、审计,"1.男性；
2.35周岁及以下；
3.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85188025,
43,临海市财政局,临海市财政预算编制中心,"公益一类
财政全额补助",财政预算B,专技,1,本科及以上,学士及以上,财政学、财政、税收学、税务、会计学、会计、财务管理、财务会计、财务会计教育、企业财务管理、审计学、审计,"1.女性；
2.35周岁及以下；
3.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85188025,
44,临海市财政局,临海市财政数字中心,"公益一类
财政全额补助",计算机管理,专技,1,本科及以上,学士及以上,"一级学科：计算机类、计算机科学与技术类；
二级学科：通信工程、电子信息工程、电子科学与技术、信息工程、信息科学技术、电子信息科学与技术、信息管理与信息系统、信息物理工程、通信与信息系统、信号与信息处理","1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85188025,
45,临海市财政局,临海市道路交通事故社会救助基金中心或临海市国有资产管理指导中心,"公益一类
财政全额补助",基金管理或资产管理A,专技,1,本科及以上,学士及以上,财政学、财政、税收学、税务、会计学、会计、财务管理、财务会计、财务会计教育、企业财务管理、审计学、审计、资产评估,"1.男性；
2.35周岁及以下；
3.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85188025,按总成绩从高分到低分依次择岗。
46,临海市财政局,临海市道路交通事故社会救助基金中心或临海市国有资产管理指导中心,"公益一类
财政全额补助",基金管理或资产管理B,专技,1,本科及以上,学士及以上,财政学、财政、税收学、税务、会计学、会计、财务管理、财务会计、财务会计教育、企业财务管理、审计学、审计、资产评估,"1.女性；
2.35周岁及以下；
3.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85188025,
47,临海市科学技术局,临海市技术创新促进中心,"公益一类
财政全额补助",综合管理,管理,1,本科及以上,学士及以上,专业不限,"1.35周岁以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85672521,
48,临海市总工会,临海市职工服务中心,"公益一类
财政全额补助",财务管理,专技,1,本科及以上,学士及以上,会计学、会计、财务管理、财务会计、财务会计教育、企业财务管理、审计、审计学,"1.35周岁以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85300196,
49,台州市生态环境局临海分局,临海市环境保护监测站,"公益一类
财政全额补助",财务管理,专技,1,本科及以上,学士及以上,会计学、会计、财务管理、财务会计、财务会计教育、企业财务管理、审计、审计学,"1.35周岁以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85221653,
50,台州市生态环境局临海分局,临海市生态文明建设指导中心,"公益一类
财政全额补助",环境管理A,专技,1,本科及以上,,一级学科：化学类、化工与制药类、化学工程与技术类、环境科学类、环境科学与工程类,"1.男性；
2.35周岁及以下；
3.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85221653,
51,台州市生态环境局临海分局,临海市生态文明建设指导中心,"公益一类
财政全额补助",环境管理B,专技,1,本科及以上,,一级学科：化学类、化工与制药类、化学工程与技术类、环境科学类、环境科学与工程类,"1.女性；
2.35周岁及以下；
3.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85221653,
52,浙江头门港经济开发区管理委员会,浙江头门港经济开发区综合服务中心,"公益一类
财政全额补助",法律事务管理,管理,1,本科及以上,,一级学科：法学类、法律类,"1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85588636,
53,浙江头门港经济开发区管理委员会,浙江头门港经济开发区综合服务中心,"公益一类
财政全额补助",环保管理A,专技,2,本科及以上,,一级学科：环境科学与工程类、环境科学类、化工与制药类、化学类、化学工程与技术类、生物工程类、药学类,"1.男性；
2.35周岁及以下；
3.临海范围；
4.2周年及以上环保相关工作经验。",《综合素质测试》占50%,结构化面试占50%,,0576-85588636,
54,浙江头门港经济开发区管理委员会,浙江头门港经济开发区综合服务中心,"公益一类
财政全额补助",环保管理B,专技,2,本科及以上,,一级学科：环境科学与工程类、环境科学类、化工与制药类、化学类、化学工程与技术类、生物工程类、药学类,"1.女性；
2.35周岁及以下；
3.临海范围；
4.2周年及以上环保相关工作经验。",《综合素质测试》占50%,结构化面试占50%,,0576-85588636,
55,浙江头门港经济开发区管理委员会,浙江头门港经济开发区综合服务中心,"公益一类
财政全额补助",环保管理C,专技,1,本科及以上,,一级学科：环境科学与工程类、环境科学类、化工与制药类、化学类、化学工程与技术类、生物工程类,"1.35周岁及以下；
2.户籍不限；
3.面向2020年全日制普通高校应届毕业生。",《综合素质测试》占50%,结构化面试占50%,,0576-85588636,
56,浙江头门港经济开发区管理委员会,浙江头门港经济开发区综合服务中心,"公益一类
财政全额补助",环保管理D,专技,1,本科及以上,,一级学科：环境科学与工程类、环境科学类、化工与制药类、化学类、化学工程与技术类、生物工程类,"1.男性；
2.35周岁及以下；
3.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85588636,
57,浙江头门港经济开发区管理委员会,浙江头门港经济开发区综合服务中心,"公益一类
财政全额补助",环保管理E,专技,1,本科及以上,,一级学科：环境科学与工程类、环境科学类、化工与制药类、化学类、化学工程与技术类、生物工程类,"1.女性；
2.35周岁及以下；
3.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85588636,
58,浙江头门港经济开发区管理委员会,浙江头门港经济开发区安全生产监察中队,"公益一类
财政全额补助",财务管理,专技,1,本科及以上,,会计学、会计、财务管理、财务会计、财务会计教育、企业财务管理、审计、审计学,"1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85588636,
59,临海市机关事务中心,临海市机关服务站,"公益一类
财政全额补助",文秘A,管理,1,本科及以上,学士及以上,一级学科：中国语言文学类、新闻传播学类,"1.男性；
2.35周岁及以下；
3.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85222104,
60,临海市机关事务中心,临海市机关服务站,"公益一类
财政全额补助",文秘B,管理,1,本科及以上,学士及以上,一级学科：中国语言文学类、新闻传播学类,"1.女性；
2.35周岁及以下；
3.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85222104,
61,临海市机关事务中心,临海市人民政府机关幼儿园,"公益二类
财政适当补助",财务管理,专技,1,本科及以上,学士及以上,会计学、会计、财务管理、财务会计、财务会计教育、企业财务管理、审计、审计学,"1.35周岁及以下；
3.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85285373,
62,临海市妇女联合会,临海市妇女儿童发展中心,"公益一类
财政全额补助",家庭教育,管理,1,本科及以上,学士及以上,专业不限,"1.35周岁及以下；
2.户籍不限；
3.面向2020年全日制普通高校应届毕业生。",《综合素质测试》占50%,结构化面试占50%,,0576-85112517,
63,浙江省临海市工商业联合会,临海市工商联非公有制经济服务中心,"公益一类
财政全额补助",文秘兼党务,管理,1,本科及以上,,一级学科：中国语言文学类、新闻传播学类,"1.35周岁及以下；
2.临海范围；
3.中共党员(不含预备党员)。",《综合素质测试》占50%,结构化面试占50%,,0576-85114346,
64,临海市新闻传媒集团（临海市广播电视台）,临海市新闻传媒集团（临海市广播电视台）,"公益二类
财政全额补助",摄像,专技,2,专科及以上,,专业不限,"1.35周岁及以下；取得新闻类中级及以上专业技术任职资格，且获得地市级新闻主管部门颁发的新闻类一等奖及以上奖项或省级新闻主管部门（或地市级政府）颁发的新闻类三等奖及以上奖项人员（证书署名排名前三）年龄放宽到40周岁及以下；  
2.须在县（市、区）级及以上新闻媒体从事新闻采编工作3周年及以上；
3.户籍不限；
4.工作户外采访为主，建议男性报考。",《新闻、摄像专业知识》占50%,,技能测试（现场摄像）占50%,0576-85401008,笔试范围：新闻学基础理论、新闻写作、摄影摄像、时事政治等
65,临海市新闻传媒集团（临海市广播电视台）,临海市新闻传媒集团（临海市广播电视台）,"公益二类
财政全额补助",全媒体采编A,专技,1,本科及以上,,"一级学科：新闻传播学类、中国语言文学类、戏剧与影视学类、设计学类；
二级学科：摄影、数字媒体技术、美术学","1.男性；
2.35周岁及以下；取得新闻类中级及以上专业技术任职资格，且获得地市级新闻主管部门颁发的新闻类一等奖及以上奖项或省级新闻主管部门（或地市级政府）颁发的新闻类三等奖及以上奖项人员（证书署名排名前三）年龄放宽到40周岁及以下；
3.台州范围。",《新闻、新媒体采编专业知识》占50%,结构化面试占50%,,0576-85401008,笔试范围：新闻学基础理论、新闻写作、新媒体采编、摄影摄像、时事政治等
66,临海市新闻传媒集团（临海市广播电视台）,临海市新闻传媒集团（临海市广播电视台）,"公益二类
财政全额补助",全媒体采编B,专技,1,本科及以上,,"一级学科：新闻传播学类、中国语言文学类、戏剧与影视学类、设计学类；
二级学科：摄影、数字媒体技术、美术学","1.女性；
2.35周岁及以下；取得新闻类中级及以上专业技术任职资格，且获得地市级新闻主管部门颁发的新闻类一等奖及以上奖项或省级新闻主管部门（或地市级政府）颁发的新闻类三等奖及以上奖项人员（证书署名排名前三）年龄放宽到40周岁及以下；
3.台州范围。",《新闻、新媒体采编专业知识》占50%,结构化面试占50%,,0576-85401008,笔试范围：新闻学基础理论、新闻写作、新媒体采编、摄影摄像、时事政治等
67,临海市气象局,临海市气象防灾减灾服务中心,"公益一类
财政全额补助",气象防灾减灾服务,专技,1,本科及以上,学士及以上,一级学科：大气科学类,"1.35周岁及以下；
2.户籍不限。",《综合素质测试》占50%,结构化面试占50%,,0576-85286167,
68,临海市人民政府古城街道办事处,临海市古城街道农业综合服务中心,"公益一类
财政全额补助",农机,专技,1,本科及以上,,"一级学科：农业工程类、机械类、机械工程类；
二级学科：自动化","1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85172018,
69,临海市人民政府古城街道办事处,临海市古城街道经济建设服务中心或社会事业服务中心,"公益一类
财政全额补助",企业管理或文化A,专技,1,本科及以上,,专业不限,"1.男性；
2.35周岁及以下；
3.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85172018,按总成绩从高分到低分依次择岗。
70,临海市人民政府古城街道办事处,临海市古城街道经济建设服务中心或社会事业服务中心,"公益一类
财政全额补助",企业管理或文化B,专技,1,本科及以上,,专业不限,"1.女性；
2.35周岁及以下；
3.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85172018,
71,临海市人民政府大田街道办事处,临海市大田街道经济建设服务中心,"公益一类
财政全额补助",统计,专技,1,本科及以上,学士及以上,统计学、应用统计学、应用统计、经济统计学、概率论与数理统计、会计学、会计、财务管理、财务会计教育、企业财务管理、审计学、审计、财务会计,"1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85952355,
72,临海市人民政府大田街道办事处,临海市大田街道农业综合服务中心,"公益一类
财政全额补助",林特,专技,1,专科及以上,,一级学科：林学类、森林资源类、林业工程类、林业技术类,"1.35周岁及以下；
2.台州范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85952355,
73,临海市人民政府邵家渡街道办事处,临海市邵家渡街道农业综合服务中心,"公益一类
财政全额补助",农科兼办公室,专技,1,本科及以上,,"学科门类：农学类；
一级学科：农林经济管理类、农业经济管理类、中国语言文学类、新闻传播学类","1.35周岁及以下；
2.户籍不限；
3.面向2020年全日制普通高校应届毕业生。",《综合素质测试》占50%,结构化面试占50%,,0576-85639953,
74,临海市人民政府邵家渡街道办事处,临海市邵家渡街道经济建设服务中心,"公益一类
财政全额补助",统计,专技,1,本科及以上,,统计学、应用统计学、应用统计、经济统计学、概率论与数理统计、会计学、会计、财务管理、财务会计教育、企业财务管理、审计学、审计、财务会计,"1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85639953,
75,临海市杜桥镇人民政府,临海市杜桥镇经济建设服务中心,"公益一类
财政全额补助",统计,专技,1,本科及以上,,统计学、应用统计学、应用统计、经济统计学、概率论与数理统计、会计学、会计、财务管理、财务会计教育、企业财务管理、审计学、审计、财务会计,"1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85501813,
76,临海市杜桥镇人民政府,临海市杜桥镇社会事业服务中心,"公益一类
财政全额补助",建设A,专技,1,专科及以上,,道路桥梁工程技术、道路与桥梁工程技术、交通工程、道路桥梁与渡河工程、桥梁与隧道工程,"1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85501813,
77,临海市杜桥镇人民政府,临海市杜桥镇社会事业服务中心,"公益一类
财政全额补助",建设B,专技,1,专科及以上,,园林、风景园林、园林工程技术、园林技术,"1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85501813,
78,临海市杜桥镇人民政府,临海市杜桥镇社会事业服务中心,"公益一类
财政全额补助",建设C,专技,1,本科及以上,,一级学科：土木类、土木工程类,"1.35周岁及以下；
2.临海范围；
3.工作地点：市住房和城乡建设局东部事务中心。",《综合素质测试》占50%,结构化面试占50%,,0576-85501813,
